SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
salix alba,,white willow,salix,salicaceae,malpighiales,dicots,willows,willows,phanerophyte,greenwich,tree,,Europe,northern,Both,Low,Limited,Widespread/Common,natural,,
salix exigua,,narroleaf willow,salix,salicaceae,malpighiales,dicots,willows,,phanerophyte,around amman,shrub,Western United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
salvia officinalis,,,salvia,lamiaceae,lamiales,dicots,,,hemicryptophyte,knighton,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,
salvia rosmarinus,,rosemary,salvia,lamiaceae,lamiales,dicots,,,chamaephyte,azraq,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,
salvia yangii,,russian sage,salvia,lamiaceae,lamiales,dicots,sages,,hemicryptophyte,around amman,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
sambucus nigra,,elderberry,sambucus,adoxaceae,dipsacales,dicots,,,phanerophyte,kintbury,shrub,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
sambucus racemosa,,red-berried elder,sambucus,adoxaceae,dipsacales,dicots,elders,,phanerophyte,charlevoix,shrub,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
sansevieria hyacinthoides,,mother-in-law's tongue,sansevieria,asparagaceae,asparagales,monocots,snake plants,asparagus,hemicryptophyte,Expo,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
santolina chamaecyparissus,,lavender cotton,santolina,asteraceae,asterales,dicots,,,hemicryptophyte,amman,herb,,Mediterranean,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
sarcobatus vermiculatus,,saltbush,sarcobatus,sarcobataceae,caryophyllales,dicots,,greasewood,hemicryptophyte,azraq,shrub,Western United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
sassafras albidum,,sassafras,sassafras,lauraceae,laurales,early angiosperms,,,phanerophyte,new york,tree,Eastern United States,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,
scaevola taccada,,beach naupaka,scaevola,goodeniaceae,asterales,dicots,,,phanerophyte,Expo,shrub,,,,Both,Low,None,Widespread/Common,natural,,
schefflera arbiricola,,miniature umbrella tree,schefflera,araliaceae,apiales,dicots,schefflera,,phanerophyte,around amman,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
schefflera heptaphylla,,,schefflera,araliaceae,apiales,dicots,schefflera,,phanerophyte,singapore,tree,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
schinus molle,,pepper tree,schinus,anacardiaceae,sapindales,dicots,,cashews and sumac,phanerophyte,Scandinavian forest,tree,,South America,southern,Both,Low,Limited,Widespread/Common,natural,,
schlumbergera truncata,,crab cactus,schlumbergera,cactaceae,caryophyllales,dicots,,cactus,hemicryptophyte,Amman garden,herb,,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,,
schoenus nigricans,,blalck bog-rush,schoenus,cyperaceae,poales,monocots,bog-rushes,sedges,hemicryptophyte,Expo,herb,,Worldwide,both,Wild,Low,None,Widespread/Common,natural,,
scirpus atrovirens,,dark green bulrush,scirpus,cyperaceae,poales,monocots,bulrushes,,hemicryptophyte,greenwich,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
secale cereale,,rye,secale,poaceae,poales,monocots,,grasses,hemicryptophyte,Fifty plants,herb,,Europe,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,
sedum dendroideum,,tree stonecrop,sedum,crassulaceae,saxifragales,dicots,,,hemicryptophyte,,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
senecio angulatus,,creeping groundsel,senecio,asteraceae,asterales,dicots,groundsels,daisy and sunflower,hemicryptophyte,around amman,herb,,Africa,southern,Wild,Low,None,Widespread/Common,natural,,
senecio flaccidus,,threadleaf groundsel,senecio,asteraceae,asterales,dicots,groundsels,daisy and sunflower,hemicryptophyte,Scandinavian forest,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
senecio vernalis,,eastern groundsel,senecio,asteraceae,asterales,dicots,groundsels,daisy and sunflower,hemicryptophyte,office,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
senna artemisioides,,silver senna,senna,fabaceae,fabales,dicots,sennas,legumes,phanerophyte,Expo,shrub,Australia,Oceania,southern,Both,Moderate,Limited,Widespread/Common,natural,,
sequoia sempervirens,,coast redwood,sequoia,cupressaceae,cupressales,conifers,sequoia,,phanerophyte,Kew,tree,Western United States,North America,northern,Both,Moderate,Major,Locally common,natural,,
sesuvium portulacastrum,,sea purslane,sesuvium,aizoaceae,caryophyllales,dicots,sea-purslanes,fig-marigolds,hemicryptophyte,Scandinavian forest,herb,,,both,Wild,Low,None,Widespread/Common,natural,,
silene dioica,,red campion,silene,caryophyllaceae,caryophyllales,dicots,campions,carnations,hemicryptophyte,Scandinavian forest,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
silphium laciniatum,,compass plant,silphium,asteraceae,asterales,dicots,,,hemicryptophyte,new york,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
silybum marianum,,milk thistle,silybum,asteraceae,asterales,dicots,,daisy and sunflower,hemicryptophyte,Scandinavian forest,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
solanum dulcamara,,,solanum,solanaceae,solanales,dicots,nightshades,,hemicryptophyte,dorset,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
solanum erianthum,,,solanum,solanaceae,solanales,dicots,nightshades,,hemicryptophyte,luang prabang,herb,,Central America,,Wild,Low,None,Widespread/Common,natural,,
solanum lycopersicum,,tomato,solanum,solanaceae,solanales,dicots,nightshades,,hemicryptophyte,greenwich,herb,,South America,southern,Cultivated,High,Major,Widespread/Common,bred,,
solanum melongena,,,solanum,solanaceae,solanales,dicots,nightshades,,hemicryptophyte,luang prabang,herb,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,
solanum tuberosum,,potato,solanum,solanaceae,solanales,dicots,,nightshades,geophyte,Fifty plants,herb,,South America,southern,Cultivated,High,Major,Widespread/Common,bred,,
soliva sessilis,,common soliva,soliva,asteraceae,asterales,dicots,,daisy and sunflower,hemicryptophyte,Scandinavian forest,herb,,South America,southern,Wild,Low,None,Widespread/Common,natural,,
sonchus oleraceus,,common sow-thistle,sonchus,asteraceae,asterales,dicots,,daisy and sunflower,hemicryptophyte,amman,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
sorbaria sorbifolia,,false spiria,sorbaria,rosaceae,rosales,dicots,,,phanerophyte,greenwich,shrub,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
sorbus aria,,whitebeam,sorbus,rosaceae,rosales,dicots,rowans,,phanerophyte,Kew,tree,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
sorbus aucaparia,,european mountain ash,sorbus,rosaceae,rosales,dicots,rowans,,phanerophyte,nanaimo,tree,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
sparganium americanum,,american bur-reed,sparganium,typhaceae,poales,monocots,bur-reeds,,hemicryptophyte,greenwich,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
spathiphyllum wallisii,,peace lily,spathiphyllum,araceae,alismatales,monocots,spathe-leaves,,hemicryptophyte,amman house,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
spathoglottis plicata,,philippine ground orchid,spathoglottis,orchidaceae,asparagales,monocots,,,hemicryptophyte,singapore,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
sphagneticola trilobata,,trailing daisy,sphagneticola,asteraceae,asterales,dicots,,daisy and sunflower,hemicryptophyte,Expo,herb,,Central America,,Cultivated,Moderate,Limited,Widespread/Common,bred,,
spiraea alba,,white meadowsweet,spiraea,rosaceae,rosales,dicots,meadowsweets,,phanerophyte,charlevoix,shrub,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
stachys sylvatica,,hedge nettle,stachys,lamiaceae,lamiales,dicots,,,hemicryptophyte,kintbury,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
stipa tenuissima,,mexican feather grass,stipa,poaceae,poales,monocots,grasses,,hemicryptophyte,nanaimo,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
strelitzia reginae,,common bird of paradise flower,strelitzia,strelitziaceae,zingiberales,monocots,,,hemicryptophyte,Kew,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
strongylodon macrobotrys,,jade vine,strongylodon,fabaceae,fabales,dicots,,,phanerophyte,singapore,vine,,Asia,northern,Cultivated,High,Limited,Locally common,bred,,
styphnolobium japonicum,,japanese pagoda tree,styphnolobium,fabaceae,fabales,dicots,,legumes,phanerophyte,yarmouk river,tree,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
styrax japonicus,,japanese snowbell,styrax,styracaceae,ericales,dicots,,,phanerophyte,kew,tree,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
swietenia macrophylla,,honduran mahogany,swietenia,meliaceae,sapindales,dicots,,mahogany and chinaberry,phanerophyte,online,tree,,Central America,,Cultivated,Low,Major,Uncommon,bred,,
symphotricum oblongifolium,,aromatic aster,symphotricum,asteraceae,asterales,dicots,,,hemicryptophyte,new york,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
syngonium podophyllum,,goosefoot plant,syngonium,araceae,alismatales,monocots,,arums,phanerophyte,yarmouk river,vine,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
